A (a),(ā),(eh´-ee)
attempting,ə-təmpt´-iŋ,uh-teh´-m-p-tih-eeng
attend (attends),ə-tənd´ (z),uh-teh´-n-d (z)
attendance,ə-tənd´-əns,uh-teh´-n-deh-n-s
attendant (attendants),ə-tənd´-ənt (s),uh-teh´-n-deh-n-t (s)
attendantly,ə-tənd´-ənt-li,uh-teh´-n-deh-n-t-lee
attended,ə-tənd´-ed,uh-teh´-n-deh-d
attendee (attendees),ə-tənd-ē´ (z),uh-teh-n-dee´ (z)
attending,ə-tənd´-iŋ,uh-teh´-n-dih-eeng
attention (attn),ə-tən´-shən,uh-teh´-n-shuh-n
attentional,ə-tən´-shən-əl,uh-teh´-n-shuh-nuh-l
attention-getter (attention-getters),ə-tən´-shən-gət´-ẽr (z),uh-teh´-n-shuh-n-geh´-terh (z)
attentions,ə-tən´-shənz,uh-teh´-n-shuh-n-z
attentive,ə-tən´-tiv,uh-teh´-n-tih-v
attentively,ə-tən´-tiv-li,uh-teh´-n-tih-v-lee
attentiveness,ə-tən´-tiv-nes,uh-teh´-n-tih-v-neh-s
attenuate,ə-tən′-ū-āt´ (ə-tən′-ū-it´),uh-teh′-n-yoo-eh´-ee-t (uh-teh′-n-yoo-ih´-t)
attenuated,ə-tən′-ū-āt´-ed,uh-teh′-n-yoo-eh´-ee-teh-d
attenuates,ə-tən′-ū-āts´,uh-teh′-n-yoo-eh´-ee-ts
attenuating,ə-tən′-ū-āt´-iŋ,uh-teh′-n-yoo-eh´-ee-tih-eeng
attenuation,ə-tən´-ū-ā′-shən,uh-teh´-n-yoo-eh′-ee-shuh-n
attest (attests),ə-təst´ (s),uh-teh´-st (s)
attestation,at´-əs-tā′-shən,åh´-teh-steh′-ee-shuh-n
attested,ə-təst´-ed,uh-teh´-steh-d
attester (attesters),ə-təst´-ẽr (z),uh-teh´-sterh (z)
attesting,ə-təst´-iŋ,uh-teh´-stih-eeng
attic (attics),at´-ik (s),åh´-tih-k (s)
atticism,at′-ə-siz´-‘m,åh′-tih-sih´-zih-m
Attilla the Hun,ə-til´-ə thə hun′,uh-tih´-luh thuh huh′-n
attire (attires),ə-tīr´ (z),uh-tuh´-ee-erh (z)
attired,ə-tīrd´,uh-tuh´-ee-erh-d
attiring,ə-tīr´-iŋ,uh-tuh´-ee-erh-ih-eeng
attitude (attitudes),at′-ə-tōōd´ (z),åh′-tih-too´-d (z)
attitudinal,at´-ə-tōōd′-ə-nəl,åh´-tih-too′-dih-nuh-l
attitudinize,at´-ə-tōōd′-ə-nīz´,åh´-tih-too′-dih-nah´-ee-z
attitudinized,at´-ə-tōōd′-ə-nīzd´,åh´-tih-too′-dih-nah´-ee-zd
attitudinizes,at´-ə-tōōd′-ə-nīz´-ez,åh´-tih-too′-dih-nah´-ee-zeh-z
attitudinizing,at´-ə-tōōd′-ə-nīz´-iŋ,åh´-tih-too′-dih-nah´-ee-zih-eeng
attorn,ə-tũrn´,uh-terh´-n
attorney (Atty),ə-tũr´-ni,uh-terh´-nee
/ General (AG),/ jən´- ẽr-əl,/ jeh´- nerh- uh- l
attorney-at-law,ə-tũr´-ni-at-lô′,uh-terh´-nee-åh-t-law′
attorneys (General),ə-tũr´-nēz (jən´- ẽr-əl),uh-terh´-nee-z (jeh´- nerh-uh- l)
attract (attracts),ə-trakt´ (s),uh-tråh´-kt (s)
attractable,ə-trakt´-ə-b’l,uh-tråh´-k-tuh-bôô-l
attracted,ə-trakt´-ed,uh-tråh´-k-teh-d
attracting,ə-trakt´-iŋ,uh-tråh´-k-tih-eeng
attraction (attractions),ə-trak´-shən (z),uh-tråh´-k-shuh-n (z)
attractive,ə-trak´-tiv,uh-tråh´-k-tih-v
attractively,ə-trak´-tiv-li,uh-tråh´-k-tih-v-lee
attractiveness,ə-trak´-tiv-nes,uh-tråh´-k-tih-v-neh-s
attractor (attractors),ə-trak´-tẽr (z),uh-tråh´-k-terh (z)
attributable,ə-trib′-ū-tə-b’l,uh-trih′-byoo-tuh-bôô-l
attributably,ə-trib′-ū-tə-bli,uh-trih′-byoo-tuh-blee
attribute (attributes),at′-trə-būt´ (ə-trib´-ūt) (s),åh′-trih-byoo´-t (uh-trih´-byoo-t) (s)
attributed,ə-trib´-ū-ted,uh-trih´-byoo-teh-d
attributer (attributers),ə-trib′-ūt´-ẽr (z),uh-trih′-byoo´-terh (z)
attributing,ə-trib′-ūt´-iŋ,uh-trih′-byoo´-tih-eeng
attribution (attributions),at´-trə-bū′-shən (z),åh´-trih-byoo′-shuh-n (z)
attributive,ə-trib´-ū-tiv,uh-trih´-byoo-tih-v
attributively,ə-trib´-ū-tiv-li,uh-trih´-byoo-tih-v-lee
attrited,ə-trīt´-ed,uh-truh′-ee-teh-d
attrition,ə-trish´-ən,uh-trih´-shuh-n
attritional,ə-trish´-ən-əl,uh-trih´-shuh-nuh-l
attritive,ə-trīt´-iv,uh-truh´-ee-tih-v
attritus,ə-trīt´-əs,uh-truh´-ee-tuh-s
attune (attunes),ə-tōōn´ (z),uh-too´-n (z)
attuned,ə-tōōnd´,uh-too´-n-d
attuning,ə-tōōn´-iŋ,uh-too´-nih-eeng
ATV (all terrain vehicle),ā´ ti vē′,eh´-ee tee vee′
atypic,ā-tip´-ik,eh-ee-tih´-pih-k
atypical,ā-tip´-ə-kəl,eh-ee-tih´-pih-kuh-l
atypically,ā-tip´-ə-kəl-li (ā-tip´-ə-kli),eh-ee-tih´-pih-kuh-lee (eh-ee-tih´-pih-klee)
aubade,ō-bäd´,oh-oo-bah´-d
aubergine,ô′-bẽr-jēn´(ô′-bẽr-zhēn´),aw′-berh-jee´-n (aw′-berh-zhee´-n)
auburn,ô´-bẽrn,aw´-berh-n
Aubusson carpet,ō′-bə-sôn´ kär′-pət,oh′-oo-buh-saw´-n kah′-erh-peh-t
au courant,ō kōō´-rän,oh-oo koo´-rah-n
auction (auctions),ôk´-shən (z),aw´-k-shuh-n (z)
auctioned,ôk´-shənd,aw´-k-shuh-n-d
auctioneer (auctioneers),ôk´-shə-nêr′ (z),aw´-k-shuh-nih′-erh (z)
auctioning,ôk´-shən-iŋ,aw´-k-shuh-nih-eeng
auctorial,ôk-tôr´-i-əl,aw-k-toh´-ree-uh-l
audacious,ô-dā´-shəs,aw-deh´-ee-shuh-s
audaciously,ô-dā´-shəs-li,aw-deh´-ee-shuh-s-lee
audaciousness,ô-dā´-shəs-nes,aw-deh´-ee-shuh-s-neh-s
audacities,ô-das´-ə-tēz,aw-dåh´-sih-tee-z
audacity,ô-das´-ə-ti,aw-dåh´-sih-tee
audible,ôd´-ə-b'l,aw´-dih-bôô-l
audibled,ôd´-ə-b'ld,aw´-dih-bôô-l-d
audibleness,ôd´-ə-b'l-nes,aw´-dih-bôô-l-neh-s
audibles,ôd´-ə-b'lz,aw´-dih-bôô-l-z
audibilities,ô´-də-bil′-ə-tēz,aw´-dih-bih′-lih-tee-z
audibility,ô´-də-bil′-ə-ti,aw´-dih-bih′-lih-tee
audibly,ô´-də-bli,aw´-dih-blee
audience,ô´-di-əns,aw´-dee-eh-n-s
audiences,ô´-di-əns-ez,aw´-dee-eh-n-seh-s
audile,ô´-dil (ô´-dīl),aw´-dih-l(aw´-dah-ee-l)
audio (audios),ô´-di-ō (z),aw´-dee-oh-oo (z)
audio frequency,ô´-di-ō frē´-kwən-si,aw´-dee-oh-oo free´-kweh-n-see
audiometer,ô´-di-om′-ə-tẽr,aw´-dee-ah′-mih-terh
audiometric,ô´-di-ə-mət′-rik,aw´-dee-oh-meh′-trih-k
audiometry,ô´-di-om′-ə-tri,aw´-dee-ah′-mih-tree
audiovisual (a.v.),ô´-di-ō-vizh′-ōō-əl,aw´-dee-oh-oo-vih′-zhoo-uh-l
audit (audits),ô´-dit (s),aw´-dih-t (s)
auditable,ô´-dit-ə-b’l,aw´-dih-t-uh-bôô-l
audited,ô´-dit-ed,aw´-dih-teh-d
auditing,ô´-dit-iŋ,aw´-dih-tih-eeng
audition (auditions),ô-dish´-ən (z),aw-dih´-shuh-n (z)
auditioned,ô-dish´-ənd,aw-dih´-shuh-n-d
auditioning,ô-dish´-ən-iŋ,aw-dih´-shuh-nih-eeng
auditive,ô´-də-tiv,aw´-dih-tih-v
auditor (auditors),ô´-də-tẽr (z),aw´-dih-terh (z)
auditorium (auditoriums),ô´-də-tôr′-i-əm (z),aw´-dih-toh′-ree-uh-m (z)
auditory,ô′-də-tôr´-i,aw′-dih-toh´-ree
au fait,ō fə´,oh-oo feh´
Augean,ô-jē´-ən,aw-djee´-eh-n
augend,ô-jənd´,aw-djeh´-n-d
auger (augers),ô´-gẽr (z),aw´-gerh (z)
aught,ôt,aw´-t
augite,ô´-jit (ô´-jīt),aw´-jih-t (aw´-juh-ee-t)
augitic,ô-jit´-ik,aw-jih´-tih-k
augment (augments),ôg-mənt´ (s),aw-g-meh-´n-t (s)
augmentable,ôg-mənt´-ə-b’l,aw-g-meh-´n-tuh-bôô-l
augmentation,ôg´-mən-tā′-shən,aw´-g-meh-n-teh′-ee-shuh-n
augmentative,ôg-mən´-tə-tiv,aw-g-meh´-n-tuh-tih-v
augmented,ôg-mənt´-ed,aw-g-meh-´n-teh-d
augmenter (augmenters),ôg´-mən-tẽr (z),aw´-g-meh-n-terh (z)
augmenting,ôg-mənt´-iŋ,aw-g-meh´-n-tih-eeng
augratin (au gratin),ô-grä´-tin,aw-grah´-tih-n
augur (augurs),ô´-gẽr (z),aw´-gerh (z)
auguries,ô´-gyẽr-ēz,aw´-gyerh-ee-z
augury,ô´-gyẽr-i,aw´-gyerh-ee (aw´-gerh-ee)
August (august),ô´-gəst (ô-gust´),aw´-guh-st (aw-guh´-st)
Augustan,ô-gust´-ən,aw-guh´-steh-n
Augustinan,ô´-gəs-tin′-i-ən,aw´-guh-stih′-nee-eh-n
Augustinanism,ô´-gəs-tin′-i-ən-iz-‘m,aw´-guh-stih′-nee-eh-nih-zih-m
augustly,ô-gust´-li,aw-guh´-st-lee
augustness,ô-gust´-nes,aw-guh´-st-neh-s
Augustus,ô-gust´-əs,aw-guh´-stuh-s
au jus,ô´ zhōōs′,aw´ zhoo′-s
auk,ôk,aw´-k
auklet,ôk´-lət,aw´-k-leh-t
au lait,ō lā′,oh-oo leh′-ee
auld,ôld,aw´-l-d
auld lang syne,ôld´ laŋ sīn´,aw´-l-d låh-ng sah´-ee-n
au natural,ō´ nä-tōō-rul´,oh´-oo nah-too-ruh´-l
aunt,ant (änt),åh´-n-t (ah´-n-t)
auntee (auntie),ant´-i,åh´-n-tee
aunty,ant´-i (änt´-i),åh´-n-tee (ah´-n-tee)
au pair,ô pâr´,aw peh´-erh
aura (auras),ô´-rə (z),aw´-ruh (z)
aurae,ô´-ri,aw´-ree
aural,ô´-rəl,aw´-ruh-l
aurally,ô´-rəl-li,aw´-ruh-lee
aureate,ô′-ri-āt´,aw′-ree-eh´-ee-t
aureola (aureolas),ô´-ri-ō′-lə (z),aw´-ree-oh′-oo-luh (z)
aureole (aureoles),ô′-ri-ōl´ (z),aw′-ree-oh´-oo-l (z)
Aureomycin ™,ô´-ri-ō-mī ′-sin,aw´-ree-oh-oo-mah′-ee-sih-n
aureus,ô´-ri-əs,aw´-ree-uh-s
aurevoir,ō´-rə-vwär′,oh´-reh-vwah′-erh
auric,ô´-rik,aw´-rih-k
auricle,ô´-rə-k'l,aw´-rih-kôô-l
auricled,ô´-rə-k'ld,aw´-rih-kôô-l-d
auricula,ô-rik´-ū-lə,aw-rih´-kyoo-luh
auricular (auriculars),ô-rik´-ū-lẽr (z),aw-rih´-kyoo-lerh (z)
auricularly,ô-rik´-ū-lẽr-li,aw-rih´-kyoo-lerh-lee
auriculate,ô-rik′-ū-lāt´ (ô-rik′-ū-lit´),aw-rih′-kyoo-leh´-ee-t (aw-rih′-kyoo-lih´-t)
auriferous,ô-rif´-ẽr-əs,aw-rih´-ferh-uh-s
auriform,ô´-rə-fôrm,aw´-rih-forh-erh-m
Aurora (Auroras),ô-rôr´-ə (z),aw-roh´-erh-uh (z) (aw-roh´-ruh)(z)
/ australis,/ ô-stral´-is,/ aw-stråh´-lih-s
borealis,bôr´-i-al′-is,boh´- ree-åh′- lih-s
polaris,pəl-âr´-is,poh-leh´-rih-s
auroral,ô-rôr´-əl,aw-roh´-ruh-l
aurous,ô-rəs´,aw´-ruh-s
aurum,ô´-rəm,aw´-ruh-m
auscultate (auscultates),ôs′-kəl-tāt´ (s),aw′-skuh-l-teh´-ee-t (s)
auscultated,ôs′-kəl-tāt´-ed,aw′-skuh-l-teh´-ee-teh-d
auscultating,ôs′-kəl-tāt´-iŋ,aw′-skuh-l-teh´-ee-tih-eeng
auscultation,ôs´-kəl-tā′-shən,aw´-skuh-l-teh′-ee-shuh-n
auscultator (auscultatators),ôs′-kəl-tāt´-ẽr (z),aw′-skuh-l-teh´-ee-terh (z)
auscultatory,ôs′-kəl-ə-tôr´-i,aw′-skuh-luh-toh´-ree
auslander (auslanders),ous′-lan´-dẽr (z),uh′-oo-slåh´-derh (z)
auspice,ôs´-pis,aw´-spih-s
auspices,ôs´-pis-ez,aw´-spih-seh-z
auspicious,ôs-pish´-əs,aw-spih´-shuh-s
auspiciously,ôs-pish´-əs-li,aw-spih´-shuh-s-lee
auspiciousness,ôs-pish´-əs-nes,aw-spih´-shuh-s-neh-s
Aussie,ô´-si,aw´-see
"Austen,Jane","ô´-stin, jān","aw´-stih-n, jeh-ee-n"
austenite,ô′-stən-īt,aw′-steh-nuh´-ee-t
austere,ô-stêr´,aw-stih´-erh
austerely,ô-stêr´-li,aw-stih´-erh-lee
austereness,ô-stêr´-nes,aw-stih´-erh-neh-s
austerities,ô-stâr´-ə-tēz,aw-steh´-rih-tee-z
austerity,ô-stâr´-ə-ti,aw-steh´-rih-tee
austral,ô´-strəl,aw´-struh-l
austral,ous-sträl´,uh-oo-strah´-l
australes,ous-sträl´-es,uh-oo-strah´-leh-s
Australasian,ô´-strə-lā′-zhən,aw´-struh-leh′-ee-zheh-n
Australian (australians),ô´-strāl′-yən (z),aw´-streh′-ee-l-yeh-n (z)
australite,ô´-strə-līt,aw´-struh-luh-ee-t
Australoid,ô´-strə-loid,aw ′-struh-loh´-ee-d
australo pithecine,ô-strə´-lō pith′-ə-sīn,aw-struh´-loh-oo pih′-thih-sah-ee-n
australo pithecus,ô-strə´-lō pith′-ə-kəs,aw-struh´-loh-oo pih′-thih-kuh-s
Australorp,ô′-strə-lôrp´,aw ′-struh-loh´-erh-p
Austrian (Austrians),ô´-stri-ən (z),aw´-stree-eh-n (z)
Austroasiatic,ô´-strō-ā´-zhi-at′-ik,aw´-stroh-oo-eh´-ee-zhee-åh′-tih-k
Austronesian,ô´-strō-nē′-zhən,aw´-stroh-oo-nee′-zheh-n
autarchic,ô´-tär-kik,aw´-tah-erh-kih-k
autarchical,ô´-tär-kik′-əl,aw´-tah-erh-kih′-kuh-l
autarchies (autarkies),ô´-tär-kēz,aw´-tah-erh-kee-z
autarchy,ô´-tär-ki,aw´-tah-erh-kee
autarcoid,ô′-tə-koid´,aw ′-tuh-koh´-ee-d
autarcoidal,ô´-tə-koid′-əl,aw ´-tuh-koh′-ee-duh-l
autarkic,ô´-tär-kik,aw´-tah-erh-kih-k
autarky,ô´-tär-ki,aw´-tah-erh-kee
autecological,ô´-tə-kə-loj′-ə-kəl,aw´-tuh-koh-lah′-jih-kuh-l
autecologically,ô´-tə-kə-loj′-ə-kəl-li (ô´-tə-kə-loj′-ə-kli),aw´-tuh-koh-lah′-jih-kuh-lee (aw´-tuh-koh-lah′-jih-klee)
autecology,ô´-tə-kol′-ə-ji,aw´-tuh-kah′-luh-jee
auteur (auteurs),ô-tiẽr´ (z),aw-t-yerh´ (z)
authentic,ô-thən´-tik,aw-theh´-n-tih-k
authentical,ô-thən´-tik-əl,aw-theh´-n-tih-kuh-l
authentically,ô-thən´-tik-əl-li (ô-thən´-tik-li),aw-theh´-n-tih-kuh-lee (aw-theh´-n-tih-klee)
authenticate (authenticates),ô-thən′-tə-kāt´ (s),aw-theh′-n-tih-keh´-ee-t (s)
authenticated,ô-thən′-tə-kāt´-ed,aw-theh′-n-tih-keh´-ee-teh-d
authentication,ô-thən′-tə-kā´-shən,aw-theh´-n-tih-keh′-ee-shuh-n
authenticating,ô-thən′-tə-kāt´-iŋ,aw-theh′-n-tih-keh´-ee-tih-eeng
authenticator (authenticators),ô-thən′-tə-kā´-tẽr (z),aw-theh′-n-tih-keh´-ee-terh (z)
authenticity,ô´-thən-tis′-ə-ti,aw´-theh-n-tih′-sih-tee
author (authors),ô´-thẽr (z),aw´-therh (z)
authored,ô´-thẽrd,aw´-therh-d
authoress,ô´-thẽr-əs,aw´-therh-eh-s
authorial,ô-thôr´-i-əl,aw-thoh´-ree-uh-l
authoring,ô´-thẽr-iŋ,aw´-therh-ih-eeng
authoritarian (authoritarians),ô-thôr´-ə-târ′-i-ən (z),aw-thoh´-rih-teh′-erh-ee-uh-n (z)
authoritarianism,ô-thôr´-ə-târ′-i-ən-iz-‘m,aw-thoh´-rih-teh′-erh-ee-uh-nih-zih-m
authoritative,ô-thôr´-ə-tā′-tiv,aw-thoh´-rih-teh′-ee-tih-v
authoritatively,ô-thôr´-ə-tā′-tiv-li,aw-thoh´-rih-teh′-ee-tih-v-lee
authoritativeness,ô-thôr´-ə-tā′-tiv-nes,aw-thoh´-rih-teh′-ee-tih-v-neh-s
authorities,ə-thôr´-ə-tēz,uh-thoh´-rih-tee-z
authority,ə-thôr´-ə-ti,uh-thoh´-rih-tee
authorization (authorizations),ô´-thẽr-ə-zā′-shən (z),aw´-therh-ih-zeh′-ee-shuh-n (z)
authorize,ô′-thẽr-īz´,aw′-therh-ah´-ee-z
authorized,ô′-thẽr-īzd´,aw′-therh-ah´-ee-zd
authorizer (authorizers),ô′-thẽr-īz´-ẽr (z),aw′-therh-ah´-ee-zerh (z)
authorizes,ô′-thẽr-īz´-ez,aw′-therh-ah´-ee-zeh-z
authorizing,ô′-thẽr-īz´-iŋ,aw′-therh-ah´-ee-zih-eeng
authorship,ô´-thẽr-ship,aw´-therh-shih-p
autism,ô´-tiz-‘m,aw´-tih-zih-m
autistic,ô-tis´-tik,aw-tih´-stih-k
auto (autos),ô´-tō (z),aw´-toh-oo (z)
autobahn (autobahns),ô′-tō-bän´(z),aw′-toh-oo-bah´-n (z)
autobahnen,ô′-tō-bän´-ən,aw′-toh-oo-bah´-neh-n
autobiographer(autobiographers),ô´-tō-bī-ôg′-rə-fẽr (z),aw´-toh-oo-bah-ee-aw ′-gruh-ferh (z)
autobiographic,ô´-tō-bī-ō-graf ′-ik,aw´-toh-oo-bah-ee-oh-oo-gråh′-fih-k
autobiographical,ô´-tō-bī-ō-graf ′-ik-əl,aw´-toh-oo-bah-ee-oh-oo-gråh′-fih-kuh-l
autobiographically,ô´-tō-bī-ō-graf ′-ik-əl-li (ô´-tō-bī-ō-graf ′-ik-li),aw´-toh-oo-bah-ee-oh-oo-gråh′-fih-kuh-lee (aw´-toh-oo-bah-ee-oh-oo-gråh′-fih-klee)
autobiographies,ô´-tō-bī-ôg′-rə-fēz,aw´-toh-oo-bah-ee-aw′-gruh-fee-z
autobiography,ô´-tō-bī-ôg′-rə-fi,aw´-toh-oo-bah-ee-aw′-gruh-fee
autobus,ô′-tō-bus´,aw ′-toh-oo-buh´-s
autobuses,ô′-tō-bus´-ez,aw ′-toh-oo-buh´-seh-z
autocade (autocades),ô′-tō-kād´ (z),aw´-toh-oo-keh´-ee-d (z)
autocatalysis,ô´-tō-kə-tal′-ə-sis,aw´-toh-oo-kuh-tåh′-luh-sih-s
autocatalytic,ô´-tō-kat´-əl-it′-ik,aw´-toh-oo-kåh´-tuh-lih′-tih-k
autocephalous,ô′-tō-səf´-ə-ləs,aw ′-toh-oo-seh´-fuh-luh-s
autochthon,ô-tok´-thən,aw-tah´-k-thuh-n
autochthonal,ô-tok´-thən-əl,aw-tah´-k-thuh-nuh-l
autochthones,ô-tok´-thən-ēz,aw-tah´-k-thuh-nee-z
autochthonous,ô-tok´-thən-əs,aw-tah´-k-thuh-nuh-s
autoclave,ô′-tō-klāv,aw´-toh-oo-kleh-ee-v
autoclaved,ô′-tō-klāvd,aw´-toh-oo-kleh-ee-vd
autoclaving,ô′-tō-klāv-iŋ,aw´-toh-oo-kleh-ee-vih-eeng
autocracies,ô-tok´-rə-sēz,aw-tah´-kruh-see-z
autocracy,ô-tok´-rə-si,aw-tah´-kruh-see
autocrat (aotocrats),ô′-tō-krat´ (s),aw′-toh-oo-kråh´-t (s)
autocratic,ô´-tō-krat′-ik,aw´-toh-oo-kråh′-tih-k
autocratical,ô´-tō-krat′-ik-əl,aw´-toh-oo-kråh′-tih-kuh-l
autocratically,ô´-tō-krat′-ik-əl-li (ô´-tō-krat′-ik-li),aw´-toh-oo-kråh′-tih-kuh-lee (aw´-toh-oo-kråh′-tih-klee)
auto-dafé,ô´-tō-də-fā′,aw´-toh-oo-duh-feh′-ee
autos-dafé,ô´-tōz-də-fā′,aw´-toh-oo-z-duh-feh′-ee
autodidact,ô′-tō-də-dakt´,aw ′-toh-oo-dih-dåh´-k
autodidactic,ô′-tō-də-dak´-tik,aw´-toh-oo-dih-dåh′-k-tih-k
autodyne,ô′-tō-dīn´,aw ′-toh-oo-dah´-ee-n
autoecious,ô-tē´-shəs,aw-tee´-shuh-s
autoecism,ô-tē´-siz-‘m,aw-tee´-sih-zih-m
autoerotic,ô´-tō-ə-rot′-ik,aw´-toh-oo-ih-rah′-tih-k
autoerotical,ô´-tō-ə-rot′-ik-əl,aw´-toh-oo-ih-rah′-tih-kuh-l
autoerotically,ô´-tō-ə-rot′-ik-əl-li (ô´-tō-ə-rot′-ik-li),aw´-toh-oo-ih-rah′-tih-kuh-lee (aw´-toh-oo-ih-rah′-tih-klee)
autoerotism,ô´-tō-âr′-ə-tiz´-‘m,aw´-toh-oo-eh′-ruh-tih´-zih-m
autogamous,ô-tog´-ə-mus,aw-tah´-guh-muh-s
autogamy,ô-tog´-ə-mi,aw-tah´-guh-mee
autogenesis,ô´-tō-jən′-ə-sis,aw´-toh-oo-jeh′-nih-sih-s
autogenetic,ô´-tō-jən-ət′-ik,aw´-toh-oo-jeh-neh′-tih-k
autogenetical,ô´-tō-jən-ət′-ik-əl,aw´-toh-oo-jeh-neh′-tih-kuh-l
autogenetically,ô´-tō-jən-ət′-ik-əl-li (ô´-tō-jən-ət′-ik-li),aw´-toh-oo-jeh-neh′-tih-kuh-lee (aw´-toh-oo-jeh-neh′-tih-klee)
autogenous,ô´-tō-jən′-əs,aw´-toh-oo-jeh′-nuh-s
autogeny,ô´-tō-jən′-i (ô´-tog′-ən′-i),aw´-toh-oo-jeh′-nee (aw´-tah′-geh′-nee)
autogiro (autogyro),ô´-tō-jī ′-rō,aw´-toh-oo-juh′-ee-roh-oo
autogiros (autogyros),ô´-tō-jī ′-rōz,aw´-toh-oo-juh′-ee-roh-oo-z
autograph (autographs),ô′-tə-graf ´(s),aw′-toh-gråh´-f (s)
autographed,ô′-tə-grafd´,aw′-toh-gråh´-fd
autographic,ô´-tə-graf ′-ik,aw ´-toh-gråh′-fih-k
autographical,ô´-tə-graf ′-ik-əl,aw ´-toh-gråh′-fih-kuh-l
autographically,ô´-tə-graf ′-ik-əl-li (ô´-tə-graf ′-ik-li),aw ´-toh-gråh′-fih-kuh-lee (aw ´-toh-gråh′-fih-klee)
autographing,ô′-tə-graf´-iŋ,aw′-toh-gråh´-fih-eeng
autography,ô-tog´-rə-fi,aw-tah´-gruh-fee
autoharp (autoharps),ô′-tō-härp´(s),aw′-toh-hah´-erh-p (s)
autohypnosis,ô´-tō-hip-nō′-sis,aw´-toh-oo-hih-p-noh′-oo-sih-s
autohypnotic,ô´-tō-hip-not′-ik,aw´-toh-oo-hih-p-nah′-tih-k
autohypnotism,ô´-tō-hip′-nō-tiz´-‘m,aw´-toh-oo-hih′-p-noh-oo-tih´-zih-m
autoimmune,ô´-tō-ə-mūn′,aw´-toh-oo-ih-myoo′-n
/ disease,/ də-zēz´,/ dih-zee´- z
autoinfection,ô´-tō-in-fək′-shən,aw´-toh-oo-ih-n-feh′-k-shuh-n
autoinoculation,ô´-tō-in-ok´-ū-lā′-shən,aw´-toh-oo-ih-nah´-kyoo-leh′-ee-shuh-n
autointoxication,ô´-tō-in-toks´-ə-kā′-shən,aw´-toh-oo-ih-n-tah´-k-sih-keh′-ee-shuh-n
autokinesis,ô´-tō-kin-nē′-sis,aw´-toh-oo-kih-nee′-sih-s
autokinetic,ô´-tō-kin-nət′-ik,aw´-toh-oo-kih-neh′-tih-k
autologous,ô-tol´-ə-gəs,aw-tah´-luh-guh-s
autolysate,ô-tol′-ə-sāt´,aw-tah′-lih-seh´-ee-t
autolysin,ôt´-ə-lī ′-sin,aw´-toh-lah′-ee-sih-n
autolysis,ôt´-ə-lī ′-sis,aw´-toh-lah′-ee-sih-s
autolytic,ôt´-ə-lit′-ik,aw´-toh-lih′-tih-k
automaker (automakers),ô′-tə-māk´-ẽr (z),aw′-toh-meh´-ee-kerh (z)
automat (automats),ôt´-ə-mat (s),aw´-toh-måh-t (s)
automata,ô-tom′-ə-tə,aw-tah′-muh-tuh
automate (automates),ô′-tə-māt´ (s),aw′-toh-meh´-ee-t (s)
automated,ô′-tə-māt´-ed,aw′-toh-meh´-ee-teh-d
automatic,ô´-tə-mat′-ik,aw´-toh-måh′-tih-k
/ pilots,/ pī´- lə t(s),/ pah´- ee- luh- t(s)
/ transmissions,/ tranz-mish´- ə n(z),/ tråh- n-z-mih´-shuh- n(z)
automatical,ô´-tə-mat′-ik-əl,aw´-toh-måh′-tih-kuh-l
automatically,ô´-tə-mat′-ik-əl-li (ô´-tə-mat′-ik-li),aw´-toh-måh′-tih-kuh-lee (aw´-toh-måh′-tih-klee)
automaticity,ô´-tō-mə-tis′-ə-ti,aw´-toh-oo-muh-tih′-sih-tee
automating,ô′-tə-māt´-iŋ,aw′-toh-meh´-ee-tih-eeng
automation,ô´-tə-mā′-shən,aw´-toh-meh′-ee-shuh-n
automatism,ô-tom′-ə-tiz´-‘m,aw-tah′-muh-tih´-zih-m
automatization,ô-tom´-ə-tī-zā′-shən,aw-tah´-muh-tah-ee-zeh′-ee-shuh-n
automatize,ô-tom´-ə-tīz,aw-tah´-muh-tah-ee-z
automatized,ô-tom´-ə-tīzd,aw-tah´-muh-tah-ee-zd
automatizes,ô-tom´-ə-tīz-ez,aw-tah´-muh-tah-ee-zeh-z
automatizing,ô-tom´-ə-tīz-iŋ,aw-tah´-muh-tah-ee-zih-eeng
automaton (automatons),ô-tom′-ə-ton´ (z),aw-tah′-muh-tah´-n (z)
automobile (automobiles),ô′-tə-mə-bēl´ (z),aw′-toh-moh-bee´-l (z)
automobilist,ô´-tə-mə-bē′-list,aw´-toh-moh-bee′-lih-st
automotive (automotives),ô´-tə-mō′-tiv (z),aw´-toh-moh′-oo-tih-v (z)
autonomic,ô´-tə-nom′-ik,aw´-toh-nah′-mih-k
/ nervous system,/ nũrv´-əs system,/ nerh´-vuh-s sis´- təm
autonomical,ô´-tə-nom′-ik-əl,aw´-toh-nah′-mih-kuh-l
autonomically,ô´-tə-nom′-ik-əl-li (ô´-tə-nom′-ik-li),aw´-toh-nah′-mih-kuh-lee (aw´-toh-nah′-mih-klee)
autonomist,ô-ton´-ə-mist,aw-tah´-nuh-mih-st
autonomous,ô-ton´-ə-məs,aw-tah´-nuh-muh-s
autonomously,ô-ton´-ə-məs-li,aw-tah´-nuh-muh-slee
autonomies,ô-ton´-ə-mēz,aw-tah´-nuh-mee-z
autonomy,ô-ton´-ə-mi,aw-tah´-nuh-mee
autophyte,ô′-tə-fīt´,aw′-toh-fuh´-ee-t
